games_played,elapsed_time,games_per_sec,avg_score,recent_avg_score,recent_std_score,win_rate,recent_win_rate,avg_loss,recent_loss,epsilon,empty_board_value,embedding_mean,embedding_std,embedding_norm,max_tile_512,max_tile_256,max_tile_128
3400,360.16593503952026,9.44009321599758,377.74797517900237,371.10843283470547,127.60800178970851,0.0,0.0,8.229816081944634,8.2142781829834,0.08794,3.132101058959961,0.018121041357517242,0.948495626449585,30.34258270263672,7,318,529
3500,370.35581517219543,9.450371390476722,377.38619083004824,367.8245788367873,127.02823858724109,0.0,0.0,8.23170634814671,8.227182536125182,0.08758,3.2092363834381104,0.018127020448446274,0.9484958052635193,30.342592239379883,6,314,525
3600,380.9583840370178,9.449851088328291,377.49391155424473,368.3221647909861,125.68618934369704,0.0,0.0,8.237985648049248,8.249190063476563,0.08722,3.2425291538238525,0.018133040517568588,0.9484958648681641,30.34259796142578,4,318,520
3700,391.28321599960327,9.456066216762416,377.30517139191903,367.7069451635424,125.4149824412316,0.0,0.0,8.242769010646922,8.274668459892274,0.08686,3.297545909881592,0.018139101564884186,0.9484959840774536,30.34260368347168,4,309,527
3800,402.2245101928711,9.447460071933106,377.765400586631,369.42612763607013,128.3892411930842,0.0,0.0,8.247003919199893,8.314978709220886,0.08650000000000001,3.345449924468994,0.01814522221684456,0.9484961628913879,30.342615127563477,7,317,515
3900,412.83300399780273,9.44691912282468,377.75816926988773,370.1631237006585,128.57394716619285,0.0,0.0,8.251438656831398,8.329690775871278,0.08614000000000001,3.3861758708953857,0.01815132424235344,0.948496401309967,30.34262466430664,6,314,521
4000,423.45708298683167,9.446057607033554,377.86104737937126,372.85835709751706,129.92182431600412,0.0,0.0,8.249132719039917,8.313639903068543,0.08578000000000001,3.452418804168701,0.018157504498958588,0.9484966993331909,30.342636108398438,7,315,525
4100,433.7548670768738,9.452343503671539,377.63130662002874,374.67129236109884,132.83672656483967,0.0,0.0,8.242918230847614,8.26588906764984,0.08542,3.4897541999816895,0.018163584172725677,0.94849693775177,30.342647552490234,9,320,519
4200,444.0034987926483,9.45938491795854,377.34877992816524,372.956944976022,131.11825154653428,0.0,0.0,8.245664101555233,8.303661632537843,0.08506,3.5167500972747803,0.01816987618803978,0.9484966397285461,30.342641830444336,7,315,521
4300,454.71636605262756,9.45644432666479,377.529625474458,376.0230708131801,133.03199834926227,0.0,0.0,8.252638735882071,8.357637453079224,0.0847,3.5662264823913574,0.018176116049289703,0.9484963417053223,30.342636108398438,9,323,510
